IGS14     130000000W 52000000W 52 42000000N 78000000N 36   Mainland Canada      
  3 31    72.000000   233.000000  -14.17    1.26  -14.87    1.23    0.10    1.40
  3 32    73.000000   233.000000  -13.98    1.76  -14.82    1.70    0.01    1.93
  3 33    74.000000   233.000000  -13.76    2.56  -14.68    2.44    0.02    2.82
  3 34    75.000000   233.000000  -13.55    3.38  -14.39    3.16    0.06    3.77
  3 35    76.000000   233.000000  -13.38    4.10  -13.91    3.74    0.12    4.63
  3 36    77.000000   233.000000  -13.24    4.70  -13.24    4.13    0.17    5.33
  3 37    78.000000   233.000000  -13.17    5.09  -12.38    4.27    0.20    5.80
  4  1    42.000000   234.500000    8.90    1.38    1.84    1.36    4.31    1.99
  4  2    43.000000   234.500000    7.55    0.53    1.90    0.53    2.75    0.80
  4  3    44.000000   234.500000    3.54    1.42    4.30    1.40    3.41    1.80
  4  4    45.000000   234.500000    2.14    1.64    5.42    1.63    3.68    1.99
  4  5    46.000000   234.500000    1.70    1.67    4.51    1.67    3.53    1.99
  4  6    47.000000   234.500000    1.13    1.48    4.40    1.48    4.35    1.75
  4  7    48.000000   234.500000    0.79    0.40    4.95    0.40    5.94    0.59
  4  8    49.000000   234.500000   -5.93    0.14   -4.46    0.14    2.30    0.18
  4  9    50.000000   234.500000  -10.07    0.25  -10.76    0.24    3.88    0.79
  4 10    51.000000   234.500000  -11.17    0.88  -13.23    0.84    3.23    1.42
  4 11    52.000000   234.500000  -11.48    1.25  -14.29    1.19    3.99    1.50
  4 12    53.000000   234.500000  -11.74    1.39  -14.42    1.31    4.14    1.62
  4 13    54.000000   234.500000  -12.24    1.48  -14.39    1.42    3.67    1.73
  4 14    55.000000   234.500000  -12.71    1.48  -14.29    1.42    3.10    1.74
  4 15    56.000000   234.500000  -12.89    1.71  -14.28    1.66    2.64    1.99
  4 16    57.000000   234.500000  -12.99    1.84  -14.43    1.82    2.36    2.13
  4 17    58.000000   234.500000  -13.24    1.75  -14.64    1.74    2.18    2.02
  4 18    59.000000   234.500000  -13.73    1.60  -14.68    1.59    1.95    1.87
  4 19    60.000000   234.500000  -14.41    1.61  -14.33    1.61    1.60    1.90
  4 20    61.000000   234.500000  -15.01    1.76  -13.69    1.76    1.35    2.08
  4 21    62.000000   234.500000  -15.25    1.94  -13.20    1.94    1.54    2.27
  4 22    63.000000   234.500000  -15.17    2.13  -13.06    2.12    2.05    2.42
  4 23    64.000000   234.500000  -14.97    2.30  -13.15    2.27    2.46    2.53
  4 24    65.000000   234.500000  -14.75    2.45  -13.35    2.40    2.58    2.59
  4 25    66.000000   234.500000  -14.57    2.51  -13.60    2.44    2.44    2.58
  4 26    67.000000   234.500000  -14.43    2.48  -13.88    2.40    2.16    2.49
  4 27    68.000000   234.500000  -14.33    2.36  -14.18    2.28    1.80    2.35
  4 28    69.000000   234.500000  -14.25    2.14  -14.49    2.07    1.42    2.16
  4 29    70.000000   234.500000  -14.19    1.81  -14.82    1.76    1.02    1.87
  4 30    71.000000   234.500000  -14.09    1.36  -15.12    1.34    0.61    1.49
  4 31    72.000000   234.500000  -13.97    0.94  -15.33    0.93    0.23    1.14
  4 32    73.000000   234.500000  -13.79    1.63  -15.19    1.58    0.18    1.85
